,Open,High,Low,Close,Volume,Timestamp
0,0.033861,0.034432,0.030946,0.031384,284983.138,1537142400
1,0.031384,0.033638,0.031119,0.032894,247061.004,1537228800
2,0.032894,0.033746,0.032241,0.032816,217203.21,1537315200
3,0.032816,0.034836,0.03236,0.034522,235455.02,1537401600
4,0.034549,0.0372,0.033402,0.036658,409984.208,1537488000
5,0.036657,0.037512,0.035123,0.035849,222334.661,1537574400
6,0.035849,0.036816,0.0354,0.036461,176995.878,1537660800
7,0.036442,0.036597,0.034302,0.034631,190414.077,1537747200
8,0.034631,0.03467,0.031994,0.034064,297526.658,1537833600
9,0.034065,0.034143,0.032479,0.033154,234835.34,1537920000
10,0.033154,0.03473,0.032644,0.034253,214927.273,1538006400
11,0.034241,0.034573,0.032815,0.033445,230903.126,1538092800
12,0.03344,0.035991,0.032923,0.035077,245968.895,1538179200
13,0.035106,0.0359,0.0346,0.035178,184624.784,1538265600
14,0.035175,0.03538,0.03449,0.035023,166101.347,1538352000
15,0.035012,0.035102,0.03425,0.034556,167738.176,1538438400
16,0.034556,0.034631,0.033532,0.033901,172215.524,1538524800
17,0.033901,0.034304,0.03357,0.033777,161036.799,1538611200
18,0.033774,0.034785,0.03346,0.034409,184892.636,1538697600
19,0.034399,0.0345,0.033995,0.034144,138183.973,1538784000
20,0.034144,0.034321,0.033889,0.034228,122929.65,1538870400
21,0.034223,0.03465,0.034003,0.034468,173388.82,1538956800
22,0.034481,0.034637,0.034218,0.034317,162576.744,1539043200
23,0.034319,0.034414,0.034073,0.034185,204182.053,1539129600
24,0.034185,0.034285,0.03048,0.030633,381280.37,1539216000
25,0.030633,0.031748,0.030606,0.031288,241722.363,1539302400
26,0.031299,0.032028,0.031251,0.031807,150620.776,1539388800
27,0.031807,0.032007,0.03086,0.031059,158085.302,1539475200
28,0.031053,0.033435,0.0308,0.031732,436303.837,1539561600
29,0.031757,0.032094,0.03136,0.031838,232077.15,1539648000
30,0.031838,0.032018,0.0314,0.0316,221946.119,1539734400
31,0.0316,0.031749,0.030924,0.031163,216793.623,1539820800
32,0.031163,0.031484,0.031039,0.031383,95286.064,1539907200
33,0.031387,0.03181,0.031285,0.03157,95097.179,1539993600
34,0.031578,0.03186,0.0314,0.031494,83821.507,1540080000
35,0.031487,0.031603,0.03127,0.031413,114465.28,1540166400
36,0.031413,0.031558,0.031063,0.031418,148898.879,1540252800
37,0.031418,0.031473,0.03115,0.031273,131064.636,1540339200
38,0.031274,0.031329,0.031041,0.031223,104742.39,1540425600
39,0.031216,0.031696,0.031118,0.031346,109273.704,1540512000
40,0.031346,0.031489,0.031298,0.031427,98752.745,1540598400
41,0.031423,0.031982,0.03135,0.031616,103299.688,1540684800
42,0.031616,0.031805,0.030834,0.03104,152062.91,1540771200
43,0.031041,0.03124,0.030922,0.031164,119787.712,1540857600
44,0.031165,0.031344,0.03085,0.03119,132035.656,1540944000
45,0.03119,0.03129,0.0311,0.031184,115155.445,1541030400
46,0.031184,0.031687,0.0311,0.031464,133957.915,1541116800
47,0.031464,0.031485,0.0313,0.031353,84467.213,1541203200
48,0.031353,0.033577,0.031264,0.032705,201761.826,1541289600
49,0.032705,0.032845,0.0322,0.032573,143719.901,1541376000
50,0.032561,0.033921,0.032401,0.033869,195035.061,1541462400
51,0.033869,0.034084,0.033175,0.033308,185653.554,1541548800
52,0.033309,0.03356,0.0328,0.032851,155000.223,1541635200
53,0.032851,0.033155,0.03263,0.032844,114030.439,1541721600
54,0.03285,0.033358,0.0328,0.033136,84544.247,1541808000
55,0.033136,0.033218,0.0328,0.032976,86448.707,1541894400
56,0.032976,0.033132,0.032801,0.03299,103848.438,1541980800
57,0.032987,0.03305,0.032349,0.032479,124181.665,1542067200
58,0.03248,0.032523,0.030033,0.031677,322149.201,1542153600
59,0.031679,0.032332,0.031267,0.032026,260594.911,1542240000
60,0.032026,0.032197,0.0312,0.031294,160277.516,1542326400
61,0.031302,0.031601,0.0311,0.03131,134241.033,1542412800
62,0.03131,0.03194,0.03126,0.0316,120896.796,1542499200
63,0.0316,0.031642,0.02904,0.030636,411823.98,1542585600
64,0.030647,0.030946,0.02875,0.029316,712970.833,1542672000
65,0.029319,0.03015,0.028761,0.029671,353292.947,1542758400
66,0.029653,0.029912,0.028894,0.02895,193061.678,1542844800
67,0.028942,0.029199,0.027974,0.028291,244056.77,1542931200
68,0.028295,0.029376,0.028104,0.029216,270075.505,1543017600
69,0.029215,0.029486,0.027855,0.029038,404295.707,1543104000
70,0.029037,0.0292,0.028283,0.028671,320274.945,1543190400
71,0.02866,0.029088,0.027765,0.028761,277443.68,1543276800
72,0.028746,0.029098,0.02791,0.028808,295828.579,1543363200
73,0.0288,0.028912,0.027371,0.027461,274767.411,1543449600
74,0.027464,0.028542,0.0273,0.028158,232763.908,1543536000
75,0.028156,0.028834,0.027818,0.02818,167738.64,1543622400
76,0.028178,0.028341,0.027877,0.028026,147257.616,1543708800
77,0.028026,0.028449,0.0277,0.027983,174282.309,1543795200
78,0.027989,0.028113,0.0277,0.027809,183794.325,1543881600
79,0.027813,0.027896,0.027203,0.027266,187578.403,1543968000
80,0.027272,0.027338,0.025543,0.025976,347300.301,1544054400
81,0.025948,0.027784,0.02463,0.027341,530450.634,1544140800
