,Open,High,Low,Close,Volume,Timestamp
0,6500.08,6533.84,6201.0,6248.69,35987.254738,1537142400
1,6248.69,6390.0,6224.98,6336.45,32620.86667,1537228800
2,6336.39,6517.7,6123.0,6391.89,39044.080082,1537315200
3,6392.0,6540.0,6325.0,6492.0,25189.024728,1537401600
4,6492.0,6784.86,6491.0,6759.02,51779.343463,1537488000
5,6759.01,6839.03,6627.0,6723.05,29349.690667,1537574400
6,6723.05,6788.23,6661.75,6708.0,30286.229773,1537660800
7,6706.81,6730.0,6557.0,6581.39,35305.73991,1537747200
8,6581.42,6584.01,6325.02,6447.54,40301.029452,1537833600
9,6445.11,6557.99,6379.7,6465.12,33484.54207,1537920000
10,6467.84,6750.0,6434.0,6689.13,33087.428297,1538006400
11,6689.12,6814.8,6540.88,6634.58,42399.448523,1538092800
12,6634.58,6636.0,6464.57,6596.38,30255.9597,1538179200
13,6597.66,6662.0,6533.0,6626.57,27764.724519,1538265600
14,6626.57,6667.09,6510.0,6611.61,20621.506894,1538352000
15,6610.0,6640.0,6494.0,6525.79,28245.810088,1538438400
16,6525.79,6549.0,6430.0,6510.0,28451.969138,1538524800
17,6510.01,6643.46,6505.09,6593.79,20074.300818,1538611200
18,6591.69,6697.0,6543.08,6635.65,16096.552392,1538697600
19,6635.65,6651.0,6566.77,6594.27,10939.505391,1538784000
20,6596.44,6640.0,6525.0,6615.26,17406.831762,1538870400
21,6615.26,6715.6,6587.0,6673.01,23123.419541,1538956800
22,6673.01,6685.38,6607.0,6656.61,15354.779469,1539043200
23,6656.67,6659.95,6530.0,6631.0,15390.661444,1539129600
24,6630.21,6633.92,6205.0,6252.68,48712.400332,1539216000
25,6252.71,6360.0,6209.0,6298.01,29004.071419,1539302400
26,6298.0,6345.0,6285.07,6332.93,19098.070025,1539388800
27,6332.92,6416.0,6308.0,6339.34,15627.411314,1539475200
28,6339.34,7680.0,6300.0,6752.5,90748.031246,1539561600
29,6752.5,6900.0,6670.0,6759.27,27557.957764,1539648000
30,6762.76,6811.12,6676.01,6740.89,26641.431379,1539734400
31,6739.01,6796.0,6567.0,6618.96,20116.521941,1539820800
32,6618.96,6648.14,6523.0,6528.88,20772.60077,1539907200
33,6528.88,6617.65,6505.55,6588.4,19240.722247,1539993600
34,6585.72,6663.9,6580.0,6590.11,6515.357792,1540080000
35,6590.12,6639.0,6535.27,6581.2,16213.69266,1540166400
36,6581.2,6595.0,6515.45,6553.51,13856.601756,1540252800
37,6553.51,6630.0,6547.53,6565.5,11951.543977,1540339200
38,6566.81,6575.09,6502.8,6528.09,10342.701244,1540425600
